cell,n_informative,concept,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
ninf3_sudden,3,0,-0.0084,0.0006,-0.0117,0.0063,0.492,-0.0091,-0.0073,0.0015,0.006,0.0028,-0.0056,-0.0086,0.003,-0.0014,-0.006,0.002,-0.0087,0.0185,-0.0013,-0.0044
ninf3_sudden,3,1,-0.0091,0.0012,-0.0039,0.002,-0.0068,-0.011,-0.0052,-0.0012,0.005,-0.0083,0.0013,-0.0042,0.0077,0.002,0.5097,0.0013,0.0022,-0.0093,-0.0056,-0.0045
ninf3_sudden,3,2,-0.0034,-0.0013,-0.0042,-0.0066,0.0094,-0.0113,0.0035,-0.0029,-0.003,0.0026,-0.002,0.0035,0.0248,-0.0021,0.0056,0.0023,0.0063,0.0029,-0.0063,0.0011
ninf3_sudden,3,3,-0.0036,0.0022,0.0007,-0.0088,0.0063,-0.0066,-0.0071,0.0051,0.0092,0.0001,0.0007,0.0125,-0.0017,0.0056,0.0002,-0.0063,-0.0009,0.0028,0.004,0.0021
ninf3_sudden,3,4,-0.0104,-0.0031,-0.0019,0.0025,0.0176,0.0057,0.0125,-0.0033,-0.0024,-0.0028,0.0152,0.0021,0.0029,0.004,-0.0046,-0.0009,0.0105,-0.0002,0.0065,-0.0046
ninf3_sudden,3,5,0.0127,0.0053,-0.0046,0.0091,0.0028,-0.0049,-0.0038,0.0057,0.0074,-0.0038,0.5019,0.0009,-0.0001,0.0154,0.002,0.0018,0.0057,-0.0021,0.0135,-0.0013
ninf3_sudden,3,6,0.0082,-0.0026,-0.009,-0.4915,0.0061,-0.5157,0.0022,0.0007,-0.0009,0.0059,-0.0046,-0.0043,-0.0085,0.0006,-0.0023,0.0008,0.0005,0.0026,0.007,0.0082
ninf3_sudden,3,7,0.0027,0.0089,-0.0045,0.0011,0.0111,0.0085,-0.0011,-0.0049,-0.0064,0.0024,-0.0029,0.0035,0.0185,-0.0035,0.006,-0.007,0.0093,-0.0096,0.0042,-0.0036
ninf3_sudden,3,8,0.0006,-0.0107,-0.0042,0.0082,0.0043,0.0004,0.0002,-0.009,-0.9895,0.0052,0.0189,-0.0087,-0.0046,0.0002,0.007,-0.0007,0.0133,-0.0005,-0.0027,-0.0039
ninf3_sudden,3,9,-0.0022,-0.0,-0.0028,0.003,-0.0079,-0.008,0.018,0.0053,0.0006,0.0041,0.0071,0.0014,-0.0145,-0.0009,-1.0075,-0.0044,0.0049,-0.0066,0.0059,-0.0008
ninf3_sudden,3,10,0.5028,0.0131,-0.0043,-0.4904,-0.006,-0.0054,0.003,0.0049,0.0071,0.0085,-0.005,-0.0025,-0.0008,-0.0022,-0.0101,0.0043,-0.0095,-0.0049,0.0036,0.0086
ninf3_sudden,3,11,-0.0024,0.4847,0.0033,0.0023,0.0134,0.002,0.0016,0.5074,0.0021,0.0047,-0.0006,-0.0063,0.0007,0.0058,-0.0032,0.0076,0.0091,0.0013,-0.5184,-0.0057
ninf3_sudden,3,12,0.0026,0.0091,-0.0068,-0.0018,-0.0069,0.0126,0.0131,0.0035,-0.0079,-0.0006,0.0046,0.0003,-0.0,0.0046,0.0087,0.0027,-0.0083,-0.0017,0.0045,-0.5113
